,District code,State Name,District name,District_elecname,malepct,femalepct,literacyrate,scpct,stpct,hindupct,muslimpct,christianpct,buddhistpct,jainpct,sikhpct,urbanpct,ruralpct,primarypct,middlepct,secondarypct,higherpct,gradpct,nda_voteshare,upa_voteshare,mtp_voteshare,topparty
552,553,ANDHRA PRADESH,Anantapur,Anantapur,0.5058613409756274,0.49413865902437254,0.5662524368143473,0.1428850411697885,0.037765599287259366,0.8819508628454543,0.1086596222435452,0.0050140303659656545,8.355492131135652e-05,0.0003472062272674257,0.00022836711631139082,0.2743678220033622,0.7256321779966378,0.18976748670573587,0.15333912188573334,0.08740599968703883,0.04272262524901225,0.03817573138868882,37332.0,67680.0,1433707.0,2
553,554,ANDHRA PRADESH,Chittoor,Chittoor,0.5007599308491676,0.49924006915083236,0.6391559880250998,0.18824819169040052,0.03813190214620571,0.8954314068974505,0.09531957344209384,0.005780697181451937,6.061239118518547e-05,0.0003167177120427478,0.0002077112377769004,0.3036345647955701,0.6963654352044298,0.1820608094383776,0.158999827111717,0.12950938462163447,0.06263633847179985,0.05819840016929825,31137.0,45121.0,1370043.0,2
554,555,KARNATAKA,Belgaum,Belgaum,0.5069528989608258,0.4930471010391741,0.6385457043920061,0.12080731248513231,0.06217972362475079,0.8448990420031881,0.11055428407997973,0.00385341136118231,0.00022721276676316584,0.037305993040092175,0.00042618085257510943,0.27005667279516293,0.7299433272048371,0.22841170565245503,0.1316940989766703,0.11505605316501145,0.060399329518035456,0.04361373273918325,1603943.0,957260.0,22976.0,0
555,556,KARNATAKA,Bagalkot,Bagalkot,0.5027702047676097,0.4972297952323903,0.589184189248113,0.16888406521067315,0.05143690812339397,0.8647849029925619,0.11641262980539245,0.0018166404903923901,0.0002180180256456932,0.013334024782087808,0.00023442229456563612,0.33803247482457194,0.661967525175428,0.21693479130790572,0.08284118448444083,0.09639054624588034,0.06468656843922684,0.04626555130412888,588544.0,440831.0,6034.0,0
556,557,KARNATAKA,Bijapur,Bijapur,0.5102678462760141,0.48973215372398593,0.5733019003541492,0.20335585172856124,0.01805605119295137,0.8206515224373326,0.16974359892914767,0.001117423120324838,0.00017176993300513336,0.003979642966549413,0.00025627706582049306,0.2484236667993706,0.7515763332006294,0.21518793083625348,0.0715826780706534,0.09135653121516443,0.06453933325668468,0.04848360635250716,656471.0,414579.0,26201.0,0
557,558,KARNATAKA,Bidar,Bidar,0.511163623554277,0.48883637644572303,0.6121487700346386,0.23471202958962015,0.13845006751599837,0.7571825280338167,0.19678506428697234,0.020805495215170552,0.01787882346034169,0.0003992250337579992,0.0006722245053719251,0.2626302314055105,0.7373697685944895,0.2748775144624093,0.112419295559845,0.10480421124522864,0.060973344021577135,0.0317753385173245,445970.0,371311.0,12128.0,0
558,559,KARNATAKA,Raichur,Raichur,0.5000544376538512,0.49994556234614884,0.5079650064391967,0.20786525591918756,0.19030937177910548,0.8471857288320479,0.14103085215147976,0.0053888092774205055,0.0011742979616468582,0.0021546941848142793,0.0002789281692565165,0.2750960846597989,0.7249039153402012,0.21657726683603218,0.09193188990792715,0.08611247756580884,0.04609369910892179,0.028337837018268565,501945.0,426575.0,11059.0,0
559,560,KARNATAKA,Koppal,Koppal,0.5035728675031657,0.49642713249683434,0.5821090422470357,0.18605962933118453,0.11818737769080234,0.8763266950615862,0.11638799355358581,0.0029361402095084608,6.11545988258317e-05,0.0020850120870265915,0.00021296189708760216,0.19156283596278975,0.8084371640372102,0.25170896613364124,0.08994540048805451,0.07967045747708808,0.05092218617968357,0.03099117921130279,387565.0,350710.0,5681.0,0
560,561,KARNATAKA,Gadag,Gadag,0.5045671022102821,0.49543289778971794,0.6577087462543563,0.1636303859774369,0.057914463116563494,0.8526916971171459,0.13495120095437593,0.0032238368543167665,7.420836581906309e-05,0.005629502991818293,0.00021698901904055158,0.3832764785664379,0.6167235214335621,0.24247301863248152,0.11170469513953794,0.10421859838622233,0.0632507282417039,0.041680501359351474,318915.0,262278.0,3751.0,0
561,562,KARNATAKA,Dharwad,Dharwad,0.5074143635460955,0.49258563645390446,0.7047362160622797,0.09629279115636351,0.04739951803523833,0.7525731948113261,0.20943648238273158,0.015563964281982411,0.0003871094187782177,0.01572097369659176,0.0008045378969292748,0.5866169603232431,0.413383039676757,0.21370774493279526,0.10351162908769951,0.12671178039667277,0.08003586335103625,0.07686406573683062,599661.0,414435.0,5604.0,0
562,563,KARNATAKA,Uttara Kannada,Uttara Kannada,0.5053379247673725,0.49466207523262745,0.7528036020815924,0.08101413264549959,0.02382392049925931,0.8261422282278563,0.13079463862635501,0.030984525828208095,0.008909181870747282,0.0025216241096210675,0.00021222277964526092,0.2959422231208613,0.7040577768791386,0.2358369916792522,0.1279118958327961,0.14654524140901434,0.07563245419198004,0.0660467631740527,577486.0,243685.0,5261.0,0
563,564,KARNATAKA,Haveri,Haveri,0.5127022635491228,0.48729773645087715,0.6793920889696733,0.13768567687404393,0.08849147632674623,0.8023431651632253,0.18647616400904318,0.0015059449147131945,4.256203416479519e-05,0.0061552212349499395,0.0002622572399271939,0.2381445193488795,0.7618554806511205,0.2738991966164753,0.12848855999165315,0.10079956637138865,0.05366726638385802,0.03518779121698481,518246.0,399180.0,5104.0,0
564,565,KARNATAKA,Bellary,Ballari,0.5043449896945887,0.4956550103054112,0.5796395246667305,0.21096389742293367,0.1840524016398957,0.8577172341948018,0.1308140969055225,0.005713947879694772,0.00011579571841253855,0.0032797914046142963,0.00041955561354402174,0.4039840893051902,0.5960159106948097,0.23471418839769725,0.09737445922653383,0.09003354668058942,0.05382936976650287,0.03965635150929038,682646.0,633725.0,11184.0,0
565,566,KARNATAKA,Chitradurga,Chitradurga,0.5066979781325929,0.4933020218674071,0.6552701608237881,0.23448467449573837,0.1823211944155193,0.9162960632882101,0.07758626923521925,0.0019132776042269273,5.0618998033090364e-05,0.0022766496972501833,0.00019403949246017972,0.21827302234502,0.78172697765498,0.20562208084739184,0.12144540241963599,0.1344862415037051,0.08186299114085861,0.04652223686520407,494966.0,407919.0,6276.0,0
566,567,KARNATAKA,Davanagere,Davanagere,0.5070169730408219,0.49298302695917806,0.6725993409396159,0.20179676452854978,0.11982131044149644,0.8524634065228577,0.13662575681175557,0.0027859205128560978,8.429722585025832e-05,0.003298385965128705,0.000157800294731886,0.33166381189807254,0.6683361881019275,0.2298566203139228,0.10633144526929349,0.13877425030481688,0.07962845780665607,0.06372241857402292,651353.0,482683.0,7723.0,0
567,568,KARNATAKA,Shimoga,Shimoga,0.5005924964898077,0.49940750351019225,0.72058983781514,0.17581370563907178,0.03731957668878615,0.844057320112988,0.13388309704790122,0.015131053833597774,6.846372535091938e-05,0.005268283665753246,0.00022821241783639793,0.36394119536695146,0.6360588046330485,0.2220377554730249,0.16825265885233304,0.14444494300322605,0.07601372340572407,0.06428704560202124,611501.0,462423.0,5769.0,0
568,569,KARNATAKA,Udupi,Udupi,0.4774499919735748,0.5225500080264252,0.7868691081155228,0.06406616152564931,0.044928445905716256,0.8571534134390386,0.08216681204830124,0.05591997696543371,0.00013674650340889498,0.0038509853817138497,0.00019705086205505364,0.2998840132956571,0.7001159867043428,0.23411351265569094,0.14418538448072485,0.14568564543123913,0.08970726096851088,0.08775708533818041,524332.0,223069.0,6672.0,0
